ex_id	id	example_name	subexample_name	text	rus	tree	sent_len
1	30	SampleExample	SoleSubExample	п’вонгу арныдь яныдь (?)	Свои селения как прокормить?	-	4	вонгу	2	0
2	37-38	SampleExample	SoleSubExample	Ыкила парк палдох вир ӈаз гин, ығр ӿагин п’нафӄхудох розийхсудь.	Ыкила сам в лес пошёл, шкур и всего другого набрать, с друзьями не делиться.	-	10	нафӄхудох	10	0
3	40	SampleExample	SoleSubExample	иф п’и парк к’орийныр пузитть.	Он сам хотел разбогатеть, о себе хлопотал.	-	5	п’и	2	0
4	42-43	SampleExample	SoleSubExample	мер Магун ула балгу т’мыре, ӈыюдох мығре ӿагин п’и виныф пак, нуғидох, пак йамадь.	Идёт наш Магун через высокие леса, спускаясь в овраги, сам все бережёт, первым идёт, только смотрит.	-	14	п’и	9	0
5	45-46	SampleExample	SoleSubExample	иф аӈ ӿагин п’ерх ыкегур ныныдь ӿагур эғзды ӄ’аудь.	Он же для себя, плохо поступает, (о других) не беспокоится.	-	9	п’ерх	4	0
6	47-49	SampleExample	SoleSubExample	иф п’и видьгир вигин, сидь сык ньрыдь (:) ӿуӈге лумр нана видь, ӿуйн пила члыги п’лывр ӿумдь, тяркныдь т’аӈрар ӿумдь.	Куда бы он ни шёл, всё видит: здесь соболь прошёл, там рысь прячется, готовится к прыжку.	-	20	п’и	2	0
7	52-54	SampleExample	SoleSubExample	вике пыйӈа нонӄ п’ӈывих куткур, хитир иӈыви сир, пал ӈа ӈытьх когур, иӈытьх пар ӿадь.	То птенца из гнезда выпавшего на место подсадит, то заболевшую лапку зверюшке перевяжет.	-	15	ӈывих	5	0
8	57	SampleExample	SoleSubExample	имх п’оӈзудьгу химдьгу.	Знали к себе сочувствие.	-	3	оӈзудьгу	3	0
9	58	SampleExample	SoleSubExample	Магунге п’умгуге, т’ыт вит, парватийво ӈамк вал ӈыски т’мыдьгу.	Магун с женой с утра вышли, к вечеру семь перевалов преодолели.	-	9	умгуге	3	0
10	69	SampleExample	SoleSubExample	Ыкила маӈӷур п’ваӽтюдь.	Ыкила здорово поистрепался.	-	3	ваӽтюдь	4	0
11	73	SampleExample	SoleSubExample	т’ылфуйн т’ур̌ п’урор, имғ ытӈур ӿумдь.	Развёл костёр, ждет их.	-	6	урор	4	0
12	79	SampleExample	SoleSubExample	Ыкила п’и ыкидьгир ыйв ыкидь.	Ыкила как стал однажды плохим, таким и остался.	-	5	п’и	2	0
13	89-90	SampleExample	SoleSubExample	п’и р̌ыпр чуз ӿухтгу имғдох розра ӿадь, к’иӈнула ӿухтгу, К’ыла ёт ӿухтгу.	От себя принёс им новые халаты, красивые халаты, К’ылой сшитые халаты.	-	12	п’и	1	0
14	92	SampleExample	SoleSubExample	Ыкила т’ылфуин п’лывлывр Магун йамар йиздь.	Ыкила, вдали спрятавшись, глядя на Магуна, так же сделал.	-	6	лывлывр	4	0
15	93-94	SampleExample	SoleSubExample	иф п’ӿонтӄух ӿухтгу меӄр̌ куздь, Тол Ызӈге Пал Ызӈге к’имийныр.	Он достал из своего мешка пару халатов, желая Хозяину воды и Хозяину тайги отдать.	-	10	ӿонтӄух	3	0
16	103	SampleExample	SoleSubExample	к’атьк’ать ӈагу, нявртох вит, п’лывдьғу.	Звери все в одно место забрались.	-	5	лывдьғу	6	0
17	112	SampleExample	SoleSubExample	Магун п’умгуге ӿы ӿитфуйн ӿумта.	И на этом острове Магун со своей женой стали жить.	-	5	умгуге	3	0
18	6-8	SampleExample	SoleSubExample	нин п’ух наӈр̌ во нивхкунтоӽ урр̌кир̌ т’хыпт ӈалакур̌, нин наӈр̌кун Ӄ’оӻа урр̌кир̌ т’хыр̌ғытйа.	Прости нам наши долги, как и мы прощаем нашим должникам.	-	13	п’ух	2	0
19	15	SampleExample	SoleSubExample	а (п’умгу) вийныӈан п’умгу к’есдь	Перед уходом сказал жене.	-	5	умгу	3	0
20	15	SampleExample	SoleSubExample	а (п’умгу) вийныӈан п’умгу к’есдь	Перед уходом сказал жене.	-	5	умгу	6	0
21	18-19	SampleExample	SoleSubExample	лаӈр̌ ӿиғр ғер̌ пулквулкуғытӈан ғузр̌, п’умгу химдь	Взял круглый нерпичий желудок и отдал жене.	-	7	умгу	7	0
22	20-21	SampleExample	SoleSubExample	йах, йоғла йыритюр вийныға, "ньоғла п’оғла кимр̌ая" ӿар ир̌ть.	"Если соберётся ребёнок пойти за мной, отдай ему [этот нерпичий желудок]", - так сказал.	-	9	оғла	9	0
23	32	SampleExample	SoleSubExample	ӿоӄор̌ п’ытык зиф т’ур	Затем (сын) пошёл по следу отца.	-	4	ытык	3	0
24	37	SampleExample	SoleSubExample	ӿы йымык п’оӻла к’есӈан намнамагур̌,	Мать сыну хорошо сказала.	-	5	оӻла	5	0
25	38	SampleExample	SoleSubExample	ӿоӄор п’ымык ир̌ть мырор̌ виӈан, ӿоӄор	Затем когда пришёл, он вспомнил наказ матери.	-	6	ымык	3	0
26	53	SampleExample	SoleSubExample	ӿоӄор оӻла ӿоӈгур̌, п’ытык азрер̌,	Так его сын защищая отца, убил медведя.	-	5	ытык	5	0
27	54-55	SampleExample	SoleSubExample	яӈгур итныдят ӿоӈге, язрадьлян п’ытык, нёгодь ӿадля (?)	Как сказать, осторожничать, своего отца защищая, убил медведя. Защищая отца?	-	8	ытык	6	0
28	56	SampleExample	SoleSubExample	[ГД:] п’ытыкрох азра азрар,	Защищая отца?	-	4	ытыкрох	2	0
29	57	SampleExample	SoleSubExample	[ВИ:] азразгур̌ п’ытыках мор̌ӄагудь.	Таким образом, отец его остался жив.	-	4	ытыках	3	0
30	58	SampleExample	SoleSubExample	язраязрар йах мор̌ӄакудь п’ытыках	Осторожничал и отец его остался жив.	-	4	ытыках	5	0
31	61-62	SampleExample	SoleSubExample	ӿоӄоӈан, йоӻла ӿарор̌, пандр пилӈан, п’ытык налагур̌ к’ыла нивх мудь фуру.	Когда сын вырос стал взрослым, стал похож на своего отца, умелым человеком, говорят.	-	11	ытык	8	0
32	66	SampleExample	SoleSubExample	п’ӽалгу лыр̌т, пилкар ӄ’ал ӿара.	Так образовался большой нивхский род.	-	5	ӽалгу	2	0
33	68-70	SampleExample	SoleSubExample	ӿоӄот, ӿоӄот, Пилавон ӄ’ал мута чхыфку, ноноӄғу, ёпут имғугир ныӈты, п’ӽалах Пилавон ӄ’ал мугута.	Большого стойбища род(ом) стали, медведей, щенков(?) собирали, на них ездили, свой род родом большого стойбища сделали.	-	14	ӽалах	12	0
34	71	SampleExample	SoleSubExample	п’ӽал лыр̌тьғу.	свой род сделали.	-	2	ӽал	2	0
35	1	SampleExample	SoleSubExample	ньр̌ак, Иисус пʼрыу нивхгу йаӽ меӻракроӽ пʼыскымгуйныт йыздьғу.	Однажды Иисус пришел и люди позвали его, чтобы научил молиться.	-	8	рыу	4	0
36	1	SampleExample	SoleSubExample	ньр̌ак, Иисус пʼрыу нивхгу йаӽ меӻракроӽ пʼыскымгуйныт йыздьғу.	Однажды Иисус пришел и люди позвали его, чтобы научил молиться.	-	8	ыскымгуйныт	9	0
37	3-5	SampleExample	SoleSubExample	мен мифух ныкр̌ немӄа нивӈ ӿунвд, тяй ин ӽомиух ор̌ӈар̌куну, ӄилӈӻуну лавгуну сикм пӈафӄ ӈафӄ ӽомиух ёпут ӿунвдӻун	На земле четыре тысячи людей живут, а их часть - ороки, эвенки, нанайцы, все друг с другом, собравшись, жили.	-	18	ӈафӄ	15	0
38	6-8	SampleExample	SoleSubExample	ниғвӈгун чо ӈанхт иньта, пуй ӈа хут иньта, иньӈ чӈыр̌ ёпут эвта, орботта, п’эӻлгун паскам тафух ин даута.	Нивхи пойманной рыбой питались, пойманных птиц ели, они собранную траву держали, работали, детей дома поучали(?)	-	18	эӻлгун	16	0
39	6-8	SampleExample	SoleSubExample	ниғвӈгун чо ӈанхт иньта, пуй ӈа хут иньта, иньӈ чӈыр̌ ёпут эвта, орботта, п’эӻлгун паскам тафух ин даута.	Нивхи пойманной рыбой питались, пойманных птиц ели, они собранную траву держали, работали, детей дома поучали(?)	-	18	аскам	18	0
40	9-11	SampleExample	SoleSubExample	ЮНЕСКО итд ниғвӈ дуғс, эӄур̌ пыкзидра, ниғвӈгун лотя туғскир̌ п’руф мугт ӄ’лайта, п’ниғвӈ дуф т’ӽар̌пта.	ЮНЕСКО говорит, что нивхский язык скоро пропадет, нивхи на русском языке, пока их язык умирает, разговаривают, свой язык забывают.	-	15	руф	11	0
41	9-11	SampleExample	SoleSubExample	ЮНЕСКО итд ниғвӈ дуғс, эӄур̌ пыкзидра, ниғвӈгун лотя туғскир̌ п’руф мугт ӄ’лайта, п’ниғвӈ дуф т’ӽар̌пта.	ЮНЕСКО говорит, что нивхский язык скоро пропадет, нивхи на русском языке, пока их язык умирает, разговаривают, свой язык забывают.	-	15	ниғвӈ	15	0
42	12-14	SampleExample	SoleSubExample	ниғвӈ дуф мор̌ӄагиныт ниғвӈгун к’ыхтит сикмроӽ итд (:) ниғвӈ туғскир̌ ӄ’лайве, п’эӻлгун ниғвӈ дуфтоӽ йаскамве инаӽ п’ниғвӈ иӻр̌ ӄ’лайна, раюна, юр̌уна ӿагуве!	Хотя нивхский язык будет жить; нивхи, заботясь, всем говорят: нивхскими словами разговаривайте, своих детей нивхскому языку учите, им на своем языке говорить, писать, читать; так поступайте!	-	22	эӻлгун	13	0
43	12-14	SampleExample	SoleSubExample	ниғвӈ дуф мор̌ӄагиныт ниғвӈгун к’ыхтит сикмроӽ итд (:) ниғвӈ туғскир̌ ӄ’лайве, п’эӻлгун ниғвӈ дуфтоӽ йаскамве инаӽ п’ниғвӈ иӻр̌ ӄ’лайна, раюна, юр̌уна ӿагуве!	Хотя нивхский язык будет жить; нивхи, заботясь, всем говорят: нивхскими словами разговаривайте, своих детей нивхскому языку учите, им на своем языке говорить, писать, читать; так поступайте!	-	22	ниғвӈ	20	0
44	1-2	SampleExample	SoleSubExample	пила нивӈ менӈ п’ӈафӄ ӈафӄроӽ мяӽр адғун: т’ад эр̌ӄӈ тик мор̌кар̌ ӿунвид.	Поспорили два старика, кто из них дольше проживёт.	-	12	ӈафӄ	5	0
45	4-5	SampleExample	SoleSubExample	ӿағи ғе нивӈ ағр̌ тигиск ӄодя ӄаврра, нуднуд айра, п’ӈафӄ нр̌ыба эӽӈавра.	Человек, взявший черемшу, никогда не болел, что бы он ни делал; однажды он увидел своего друга и засмеялся.	-	12	ӈафӄ	11	0
46	23-25	SampleExample	SoleSubExample	Ни ахтыйныдьра лоча тьыу ("ч") ӿара нивхгу т’ат ит тьыу ("ч’") ӿара п’ӽатьп’ӽатькут итт’адь.	Я попыталась доказать, что русский звук "ч" и нивхский придыхательный звук "ч’" произносятся по-разному.	-	14	ӽатьп’ӽатькут	14	0
47	26-27	SampleExample	SoleSubExample	К’инӈула лингвистғу п’идиф йим мер нивғгу к’ымла ӄоӻа итве!	Уважаемые лингвисты, нивхи, знающие родной язык, скажите своё мнение!	-	9	диф	4	0
48	41-43	SampleExample	SoleSubExample	СавельеваВН ӿара ТаксамиЧМ ӿара п’исловарюх знак апостроф тогут йыюдьғу («’») вылӈуғытра итёнр ныйрыӈ нюра.	Савельева В.Н. и Таксами Ч.М. в своём словаре обозначали знак апостроф так «’», перевёрнутая запятая головкой в правую сторону.	-	14	словарюх	6	0
49	86	SampleExample	SoleSubExample	Ни п’ымыкух ӿумдьра.	Я нахожусь у своей мамы.	-	3	ымыкух	3	0
50	91	SampleExample	SoleSubExample	Иф п’ытыкғир нымыдьра.	Он дорожит своим отцом.	-	3	ытыкғир	3	0
51	98	SampleExample	SoleSubExample	Лискук п’атикаӽ ӄ’огудь.	Лискук уложила спать свою сестрёнку.	-	3	атикаӽ	3	0
52	173-174	SampleExample	SoleSubExample	речевая среда ӿара, намагур п’сит ит рыунивх ӿара маӈгла роль ӿы тиф орфоэпия тиф ирныдь.	Решающую роль в овладении орфоэпией принадлежит речевой среде и образцовой речи учителя.	-	15	сит	6	0
53	180-181	SampleExample	SoleSubExample	Ниғит нивх тьыуғу артикуляция п’рыуоғлагудоӽ, рыунивхгудоӽ, ытыкғо ымыкғогудоӽ нынығытть.	Мною разработана артикуляция нивхских звуков для учащихся, учителей и родителей.	-	9	рыуоғлагудоӽ	6	0
54	206-207	SampleExample	SoleSubExample	П’иаӽ ӿара сык морӄакғу мер лаӄв ӿара рамӽти няӄр ӿаныдь фуру.	Нивхи принимали себя, как единое целое с окружающим живым миром.	-	11	П’иаӽ	1	0
55	243-244	SampleExample	SoleSubExample	п’ситр ит йим нивх барк йимдь, ягут мыкргут раюныдь.	Только носитель языка может разобраться в правильном написании.	-	9	ситр	2	0
56	251-252	SampleExample	SoleSubExample	Савельевағе Таксамиғе п’исловарьку принципғит руғруғны тиф раюдьғу.	Словари Савельевой и Таксами написаны по принципу выбора нужного слова.	-	7	словарьку	4	0
57	253-254	SampleExample	SoleSubExample	Мыкргут п’ситт ит йим нивхгу сыкык ӿыскть.	Носителей языка остаётся всё меньше и меньше.	-	7	ситт	3	0
58	255-256	SampleExample	SoleSubExample	Мыкргут нивғ диф раюда ӄауӻа, мер п’и мыксла мыкрла нивғ диф быкзныдьра.	Без правильного написания нивхской речи мы можем утратить настоящий правильный нивхский язык.	-	12	п’и	7	0
59	17-18	SampleExample	SoleSubExample	ӿогур Тодя пандь сидь ӿагин ныныдь юғзура, нивхгудох ыкисгур к’еспурра, п’и вак смора.	Поэтому Плакса вырос и не знал, как всё делается, нехорошо с людьми общался и любил только себя.	-	13	п’и	11	0
60	23	SampleExample	SoleSubExample	иф п’и вак смодь, аӈ агин ёӈзудох ӄ’аудь.	Он только себя любил, никого не жалел.	-	8	п’и	2	0
61	31-32	SampleExample	SoleSubExample	Тодя ытык п’и оӻладох меутю ғедь вымык ӿаску, киғо ётть, инныдь йимра.	Отец Плаксы купил своему ребёнку ружьё, мать одежду с обувью сшила, поесть сможет.	-	12	п’и	3	0
62	35-36	SampleExample	SoleSubExample	имх парк п’и оӻла татуди ӄ’аудьғу, сидь ӿагин ныдь июзудь.	Они только своего ребенка не научили, ничего делать не умел.	-	10	п’и	3	0
63	43	SampleExample	SoleSubExample	сык ӿонтӄ сира ӿорот п’и оӻладох иттьгу (:)	Всю сумку уложили, своему ребёнку сказали:	-	8	п’и	5	0
